20197,Valley Industries Offers a Helping Hand,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21853,Contemporary Art Museum Spring 2016 Opening,,11515,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19858,"Building a Better Future - Education Programs & Initiatives Across STL, September 2015",/Volumes/HECTVLibrary/Playlists/btm_1509.xpls,1509,/Users/Administrator/Dropbox/Playlists/btm_1509.xpls
20078,Top Tech Toy,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20015,Ferguson: The World One Year Later,/Volumes/HECTVLibrary/Playlists/hpr_1508_hssu_ferguson_one_year_later.xpls,1509,/Users/Administrator/Dropbox/Playlists/hpr_1508_hssu_ferguson_one_year_later.xpls
19779,Constitution Day 2015:  The Voting Rights Act of 1965 and its Current Implications - Morning Program,,150917,/Users/Administrator/Dropbox/Playlists/hpr_20150917_constitution_day_10am.xpls
19960,Explore! Economics,,151022,/Users/Administrator/Dropbox/Playlists/hlv_1510_explore_economics_full_show.xpls
19862,Harris-Stowe State University Presidential Inauguration,,1509,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19860,"Reviews of The Full Monty, All the Way, Mr. Burns, and others, Sept. 17, 2015",,150917,/Users/Administrator/Dropbox/Playlists/tot_150917.xpls
19855,LetÍ¢__ë_ ¢s Talk AboutÍ¢__ë‘_ Bees: Understanding the Roots of Social Life,/Volumes/HECTVLibrary/Playlists/dps_1509_bees .xpls,1509,/Users/Administrator/Dropbox/Playlists/dps_1509_bees .xpls
19843,"Reviews of The Amish Project, Gotterdammerung, Wild Oats, and others, September 3, 2015",,150903,/Users/Administrator/Dropbox/Playlists/tot_150903.xpls
19320,"The Future of Security, Transportation, Food and Modern Medicine, August 2015",/Volumes/HECTVLibrary/Playlists/inn_1508.xpls,1508,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19752,2015 State of Saint Louis Workforce Report,,,/Users/Administrator/Dropbox/Playlists/hpr_2015_state_of_the_workforce.xpls
19698,E. Coli Used to Create Gasoline,/Volumes/HECTVLibrary/Playlists/inn_1508.xpls,1508,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19322,"Candid, Personal and Hilarious: One on One with Judy Blume",/Volumes/HECTVLibrary/Playlists/mtb_1507_judy_blume.xpls,1507,/Users/Administrator/Dropbox/Playlists/mtb_1507_judy_blume.xpls
19569,"Spirit of St. Louis Crater"" on Mars""",/Volumes/HECTVLibrary/Playlists/inn_1507_spirit_of_stl_mars_opportunity_rover.xpls,1507,/Users/Administrator/Dropbox/Playlists/inn_1507_spirit_of_stl_mars_opportunity_rover.xpls
19555,"Heroin Awareness, It Takes a Village and Educational Table Games, August 2015",/Volumes/HECTVLibrary/Playlists/ilj_1508.xpls,1508,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19553,"Drummer Montez Coleman & Trumpeter Russell Gunn Return Home to Perform, August 2015",/Volumes/HECTVLibrary/Playlists/ilj_1508.xpls,1508,/Users/Administrator/Dropbox/Playlists/ilj_1508.xpls
19551,"Ron Himes Interview and Reviews of Spellbound and Oklahoma!, Aug. 20, 2015",,150820,/Users/Administrator/Dropbox/Playlists/tot_150820.xpls
19549,"Reviews of Anything Goes, Moon Over Buffalo, Rigoletto, and others, August 6, 2015",,150806,/Users/Administrator/Dropbox/Playlists/tot_150806.xpls
19547,Highlights from the Filmmakers Showcase,/Volumes/HECTVLibrary/Playlists/fra_1508_air.xpls,1508,/Users/Administrator/Dropbox/Playlists/fra_1508_air.xpls
19318,"Pulitzer Arts Renovation, July 2015",/Volumes/HECTVLibrary/Playlists/sot_1507.xpls,1507,/Users/Administrator/Dropbox/Playlists/sot_1507.xpls
19520,Conclusion and Credits,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19518,Dances With India,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19516,Comedienne Phyllis Shulman,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19514,Dr. Eric Leuthardt Pens,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19513,"Rip Kastaris, Greek Iconographer",,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19511,Battle of the Boards-World Chess HOF,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19510,Artist Gary Lucy,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19508,Fox Theatricals Tony for Fun Home/Kristen Caskey Profile,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19506,Invisible Boyfriend/Girlfriend App,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19505,Firecracker Press,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19503,New Arts Magazine:,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19501,Pulitzer New Exhibit Space,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19441,Gateway2Change Sizzle Reel,series/hectvlive/hlv_2015_gateway2change_promo_1500.mp4,70815,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19435,Gateway2Change inspires student activists,series/hectvlive/Gateway2Change-HEC-TV_1500Kbs_16x9.mp4,70615,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19316,"Reviews of Into the Woods, Buddy, Don Giovanni, Evita, and others, July 23, 2015",,150723,/Users/Administrator/Dropbox/Playlists/tot_150723.xpls
19314,"Reviews of Irving BerlinÍ¢__ë_ ¢s Holiday Inn & The Fantasticks, July 9, 2015",,150709,/Users/Administrator/Dropbox/Playlists/tot_150709.xpls
19312,Six films from the 48 Hour Film Project,/Volumes/HECTVLibrary/Playlists/fra_1507.xpls,1507,/Users/Administrator/Dropbox/Playlists/fra_1507.xpls
19310,"Let's Talk About...Prairies, Conservation, & Energy, June 2015",/Volumes/HECTVLibrary/Playlists/dps_1506_prairies_conservation_energy.xpls,1506,/Users/Administrator/Dropbox/Playlists/dps_1506_prairies_conservation_energy.xpls
19032,"Student Innovation, June 2015",/Volumes/HECTVLibrary/Playlists/btm_1506.xpls,1506,/Users/Administrator/Dropbox/Playlists/btm_1506.xpls
19261,Spanning the Globe with Soybean Research,,1506,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19210,"Local Charities, History Preservation, and Police Anti-Bias Training, June 2015",/Volumes/HECTVLibrary/Playlists/imp_1506.xpls,1506,/Users/Administrator/Dropbox/Playlists/imp_1506.xpls
19213,Hand Delivering Hope: Be The Change Volunteers,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20487,Program 14: On Track for Success,/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_14.xpls,14,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_14.xpls
